1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Volumina 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;vest;bo31;bo31hk;bo3_nw;doelgroep;ephh;groei_jong;groei_llvo;kernen500;lidr_w_nw;inwo;inw75+dr;wad1;wad3;wad2;jong;kernen;LOdr;ll_so;ll_vo;loonksub;nwmigr;cf.landelijk;cf.lokaal;cf.regionaal;oeverdhbftot;oeverbftot;oadw;goab;opbebnk;opbebnkbfnk;opbebk;opbebkbfk;biwa;buiwamax;histk40;histk65;histk4164;landbftot;land;WOZnwe70;WOZnwg70;WOZwe80;vast;Amsterdam;Den Haag;Rotterdam;woonr;woonrbfk
CBS;Naam;Prov;bedrijven;bewoonde oorden 1930;historische woningen in bewoonde oorden 1930;bijstandsontvangers;doelgroepenregister gemeentelijke doelgroep;éénpersoonshuishoudens;extra groei jongeren;extra groei leerlingen voortgezet onderwijs;grote woonkernen;huishoudens met een laag inkomen met drempel;inwoners;inwoners 75+ met drempel;inwoners waddengemeenten (<2500 inwoners);inwoners waddengemeenten (>7500 inwoners);inwoners waddengemeenten (2500 tot 7500 inwoners);jongeren;kernen;laag opleidingsniveau met drempel;leerlingen (voortgezet) speciaal onderwijs;leerlingen voortgezet onderwijs;loonkostensubsidie;migratieachtergrond;landelijke centrumfunctie;lokale centrumfunctie;regionale centrumfunctie;(oeverlengte+2*veen/kleiveengebied)*bf.gemeente*dh.factor;oeverlengte*bodemfactor gemeente;omgevingsadressendichtheid;onderwijsachterstand;oppervlak bebouwing buitengebied;oppervlak bebouwing buitengebied ∗ bodemfactor buitengebied;oppervlak bebouwing woonkern;oppervlak bebouwing woonkern ∗ bodemfactor woonkern;oppervlak binnenwater;oppervlak buitenwater;oppervlak historische kern < 40 ha;oppervlak historische kern > 65 ha;oppervlak historische kern 40 tot 65 ha;oppervlak land * bodemfactor gemeente;oppervlak land;ozb niet-woningen eigenaren;ozb niet-woningen gebruikers;ozb woningen eigenaren;vast bedrag;vast bedrag Amsterdam;verkiezingen Den Haag;vast bedrag Rotterdam;woonruimten;woonruimten ∗ bodemfactor woonkern
1979;Eemsdelta;1;4.577,26;2.847,00;2.216,00;1.240,09;578,35;8.005,41;0,00;0,00;5,00;5.627,75;45.283,34;3.123,15;0,00;0,00;0,00;7.646,59;27,00;5.983,18;691,41;1.371,19;176,93;4.509,69;29.498,11;44.419,02;31.722,09;18.609,19;7.571,97;16.980,35;3.140,29;203,72;242,43;293,17;354,24;704,00;8.883,00;15,00;0,00;0,00;31.916,99;26.821,00;1.130.269.112,11;1.130.269.112,11;5.124.367.351,46;1,00;0,00;0,00;0,00;24.017,46;29.061,13
14;Groningen;1;32.934,45;25.791,00;23.468,00;9.563,73;2.315,58;86.927,59;0,00;0,00;3,00;24.617,15;247.105,81;2.624,61;0,00;0,00;0,00;34.618,84;18,00;3.285,02;8.159,45;12.586,34;816,03;33.530,08;477.145,59;265.038,20;534.736,66;127.419,38;9.257,37;473.331,78;7.135,29;111,39;122,53;1.014,98;1.104,77;1.322,00;0,00;0,00;112,00;0,00;20.136,66;18.474,00;4.840.868.698,03;4.714.321.821,36;35.129.145.138,71;1,00;0,00;0,00;0,00;135.741,83;147.958,60
1966;Het Hogeland;1;5.860,56;1.523,00;0,00;963,77;434,86;7.806,58;0,00;0,00;12,00;5.455,29;48.703,22;3.042,62;0,00;0,00;0,00;8.960,63;41,00;5.155,27;0,00;1.096,79;108,30;2.329,83;5.418,43;44.782,94;6.884,24;11.152,78;10.911,30;9.964,77;1.525,11;279,99;310,79;322,49;363,90;2.047,00;10.000,00;0,00;0,00;0,00;52.666,17;47.447,00;1.215.715.293,79;1.215.715.293,79;5.590.381.246,49;1,00;0,00;0,00;0,00;23.725,64;26.809,97
1952;Midden-Groningen;1;6.821,73;3.173,00;0,00;1.590,03;702,12;10.474,07;0,00;0,00;9,00;7.248,45;62.056,22;3.334,31;0,00;0,00;0,00;10.744,83;23,00;7.652,87;414,44;1.061,60;275,58;5.979,92;38.565,90;58.379,57;42.235,47;18.156,46;8.618,00;26.189,25;3.637,40;174,62;174,62;411,45;410,87;1.805,00;0,00;0,00;0,00;0,00;27.772,00;27.772,00;933.418.415,07;873.570.034,66;7.506.216.148,27;1,00;0,00;0,00;0,00;30.068,03;30.068,03
1895;Oldambt;1;4.120,05;3.452,00;2.903,00;1.253,54;577,25;7.186,47;0,00;0,00;7,00;5.280,59;40.017,55;2.597,04;0,00;0,00;0,00;6.448,32;19,00;5.974,30;1.201,16;1.535,19;185,51;2.203,39;23.644,99;41.174,02;28.386,12;12.779,64;6.139,80;16.809,04;2.495,43;130,46;142,20;282,05;290,10;1.394,00;5.546,00;10,00;0,00;0,00;24.468,48;22.656,00;714.935.773,31;672.032.416,26;4.550.777.451,93;1,00;0,00;0,00;0,00;19.798,63;20.392,59
